object_category_Id,FullName,ShortName,global_id,LegalAddress,ChiefName,ChiefPosition,PublicPhone,WebSite,ID,Email
,Управа района Коптево города Москвы,,38726580,"125130, г. Москва, улица Зои и Александра Космодемьянских, дом 31, корпус 1",Катанов Николай Алексеевич,глава управы,"PublicPhone:(495) 777-77-77

",koptevo.mos.ru,44,"Email:sao-koptevo@mos.ru

"
,Управа Молжаниновского района города Москвы,,38726583,"141408, г. Москва, 4-я улица Новосёлки, дом 2",Валитов Александр Хусаинович,глава управы,"PublicPhone:(495) 777-77-77

",molzhaninovskiy.mos.ru,46,"Email:sao-molg@mos.ru

"
,Управа Бутырского района города Москвы,,38726595,"127322, г. Москва, улица Милашенкова, дом 14",Акопов Енок Юрьевич,глава управы,"PublicPhone:(495) 777-77-77

",butyrsky.mos.ru,56,"Email:butspr@svao.mos.ru

"
,Управа района Вешняки города Москвы,,38726612,"111539, г. Москва, улица Вешняковская, дом 9, корпус 2, строение 2",Щербачев Евгений Дмитриевич,глава управы,"PublicPhone:(495) 777-77-77

",veshnyaki.mos.ru,70,"Email:vesh@mos.ru

"
,Управа района Восточный города Москвы,,38726613,"105173, г. Москва, улица 9 Мая, дом 12А",Ивановский Виктор Сергеевич,глава управы,"PublicPhone:(495) 777-77-77

",vostochniy.mos.ru,71,"Email:priem_uprava_vostok@mail.ru

"
,Управа района Москворечье-Сабурово города Москвы,,38726653,"115522, г. Москва, Пролетарский проспект, дом 7",Заковыркин Роман Васильевич,глава управы,"PublicPhone:(495) 777-77-77

",moskvoreche-saburovo.mos.ru,103,"Email:somsb@mos.ru

"
,Управа района Силино города Москвы,,38726674,"124460, г. Москва, г. Зеленоград, корпус 1123",Гусева Наталия Юрьевна,глава управы,"PublicPhone:(495) 777-77-77

",silino.mos.ru,149,"Email:silinozelao@mos.ru

"
,Управа района Старое Крюково города Москвы,,38726676,"124527, г. Москва, г. Зеленоград, корпус 830",Петрова Людмила Ивановна,глава управы,"PublicPhone:(495) 777-77-77

",st-krukovo.mos.ru,150,"Email:uprsk@mos.ru

"
,Государственное унитарное предприятие города Москвы «Московский социальный регистр»,ГУП «МСР»,38726680,"115093, г. Москва, Серпуховский переулок, дом 7, строение 1",Бутурлин Иван Александрович,Генеральный директор,"PublicPhone:(499) 237-94-50

PublicPhone:(495) 539-55-55

",www.mos.ru/socialnaya-karta/,154,"Email:msr@it.mos.ru

"
,Управа района Бибирево города Москвы,,38729044,"127549, г. Москва, улица Пришвина, дом 12, корпус 2",Юрьев Сергей Викторович,глава управы,"PublicPhone:(495) 777-77-77

",bibirevo.mos.ru,55,"Email:bibirevo@mos.ru

"
,Управа района Лианозово города Москвы,,38729045,"127576, г. Москва, Алтуфьевское шоссе, дом 87",Колесова Елена Львовна,глава управы,"PublicPhone:(495) 777-77-77

",lianozovo.mos.ru,57,"Email:uprava-lianozovo@mail.ru

"
,Управа Лосиноостровского района города Москвы,,38729047,"129344, г. Москва, улица Лётчика Бабушкина, дом 1, корпус 1  ",Леонов Роберто Александрович,глава управы,"PublicPhone:(495) 777-77-77

",losinka.mos.ru,58,"Email:yrlos@mos.ru

"
,Управа района Марфино города Москвы,,38729049,"127276, г. Москва, Большая Марфинская улица, дом 4",Кулиев Роман Тахирович,глава управы,"PublicPhone:(495) 777-77-77

",marfino.mos.ru,59,"Email:marspr@mos.ru

"
,Управа района Марьина Роща города Москвы,,38729050,"127018, г. Москва, 2-я Ямская улица, дом 15",Литовский Владимир Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",marina-roscha.mos.ru,60,"Email:mrospr@svao.mos.ru

"
,Управа Останкинского района города Москвы,,38729051,"129085, г. Москва, проспект Мира, дом 81",Горожанкин Геннадий Михайлович,глава управы,"PublicPhone:(495) 777-77-77

",ostankino.mos.ru,61,"Email:OstSpr@mos.ru

"
,Управа района Отрадное города Москвы,,38729052,"127273, г. Москва, проезд Якушкина, дом 4",Литовченко Павел Павлович,глава управы,"PublicPhone:(495) 777-77-77

",otradnoe.mos.ru,62,"Email:otrorg@svao.mos.ru

"
,Управа района Ростокино города Москвы,,38729053,"129128, г. Москва, Будайский проезд, дом 9",Гордикова Светлана Юрьевна,глава управы,"PublicPhone:(495) 777-77-77

",rostokino.mos.ru,63,"Email:rosspr@svao.mos.ru

"
,Управа района Свиблово города Москвы,,38729054,"129344, г. Москва, улица Лётчика Бабушкина, дом 1, корпус 1   ",Кучма Андриан Анатольевич,глава управы,"PublicPhone:(495) 777-77-77

",sviblovo.mos.ru,64,"Email:svispr@svao.mos.ru

"
,Управа района Северный города Москвы,,38729055,"127204, г. Москва, 9-я Северная линия, дом 5",Потапенко Екатерина Васильевна,глава управы,"PublicPhone:(495) 777-77-77

",severny.mos.ru,65,"Email:sevspr@svao.mos.ru

"
,Управа района Северное Медведково города Москвы,,38729056,"127642, г. Москва, проезд Шокальского, дом 30, корпус 1",Яровенко Сергей Александрович,глава управы,"PublicPhone:(495) 777-77-77

",smedvedkovo.mos.ru,66,"Email:nmespr@svao.mos.ru

"
,Управа района Южное Медведково города Москвы,,38729058,"127081, г. Москва, Ясный проезд, дом 17",Големба Олег Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",medvedkovo-juzhnoe.mos.ru,67,"Email:smespr@svao.mos.ru

"
,Управа Ярославского района города Москвы,,38729059,"129337, г. Москва, Ярославское шоссе, дом 122, корпус 1",Бурцев Михаил Михайлович,глава управы,"PublicPhone:(495) 777-77-77

",yaroslavsky.mos.ru,68,"Email:yarspr@mos.ru

"
,Управа района Богородское города Москвы,,38729061,"107564, г. Москва, Краснобогатырская улица, дом 29, корпус 2",Ланько Елена Борисовна,глава управы,"PublicPhone:(495) 777-77-77

",bogorodskoe.mos.ru,69,"Email:vao-bog@mos.ru

"
,Управа района Восточное Измайлово города Москвы,,38729062,"105077, г. Москва, 15-ая Парковая улица, дом 23А",Умеренков Александр Алексеевич,глава управы,"PublicPhone:(495) 777-77-77

",v-izm.mos.ru,72,"Email:v_izm@mos.ru

"
,Управа района Гольяново города Москвы,,38729063,"107065, г. Москва, Курганская улица, дом 8",Меркулов Сергей Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",golyanovo.mos.ru,73,"Email:gol@vao.mos.ru

"
,Управа района Ивановское города Москвы,,38729064,"111555, г. Москва, Саянская улица, дом 18",Алимова Зинаида Ивановна,глава управы,"PublicPhone:(495) 777-77-77

",ivanovskoe.mos.ru,74,"Email:ivanovskoe@mos.ru

"
,Управа района Измайлово города Москвы,,38729066,"123456, г. Москва, 5-я Парковая улица, дом 16",Довбня Михаил Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",izmaylowo.mos.ru,75,"Email:izmaylovo@vao.mos.ru

"
,Управа района Косино-Ухтомский города Москвы,,38729067,"111621, г. Москва, Большая Косинская улица, дом 20, корпус 1",Богачева Людмила Алексеевна,глава управы,"PublicPhone:(495) 777-77-77

",kosino-uhtomski.mos.ru,76,"Email:vao-kos_uht@mos.ru

"
,Управа района Метрогородок города Москвы,,38729068,"107143, г. Москва, Открытое шоссе, дом 19, корпус 6",Пильщиков Олег Евгеньевич,глава управы,"PublicPhone:(495) 777-77-77

",metrogorodok.mos.ru,77,"Email:vao-metro@mos.ru

"
,Управа района Новогиреево города Москвы,,38729069,"111397, г. Москва, Зелёный проспект, дом 20 ",Хрулёв Александр Павлович,глава управы,"PublicPhone:(495) 777-77-77

",novogireevo.mos.ru,78,"Email:novogir@vao.mos.ru

"
,Управа района Новокосино города Москвы,,38729071,"111673, г. Москва, Суздальская улица, дом 20",Романцова Наталья Николаевна,глава управы,"PublicPhone:(495) 777-77-77

",novokosino.mos.ru,79,"Email:upravanovokosino@mos.ru

"
,Управа района Перово города Москвы,,38729072,"111397, г. Москва, Зелёный проспект, дом 20  ",Филиппов Дмитрий Станиславович,глава управы,"PublicPhone:(495) 777-77-77

",perovo.mos.ru,80,"Email:per_priem@vao.mos.ru

"
,Управа района Преображенское города Москвы,,38729073,"107061, г. Москва, Большая Черкизовская улица, дом 14А",Ямалдинов Руслан Маратович,глава управы,"PublicPhone:(495) 777-77-77

",preobr.mos.ru,81,"Email:preo@vao.mos.ru

"
,Управа района Северное Измайлово города Москвы,,38729074,"105425, г. Москва, 5-я Парковая улица, дом 58А",Дятленко Дмитрий Дмитриевич,глава управы,"PublicPhone:(495) 777-77-77

",sevizm.mos.ru,82,"Email:s_izm@mos.ru

"
,Управа района Соколиная Гора города Москвы,,38729075,"105318, г. Москва, Щербаковская улица, дом 5А",Котаев Александр Васильевич,Исполняющий обязанности главы управы,"PublicPhone:(495) 777-77-77

",sokolinka.mos.ru,83,"Email:sg-priem@mos.ru

"
,Управа района Сокольники города Москвы,,38729076,"107014, г. Москва, улица Стромынка, дом 3",Цветкова Елена Николаевна,глава управы,"PublicPhone:(495) 777-77-77

",sokolniki.mos.ru,84,"Email:sokolniki-priem@mos.ru

"
,Управа района Выхино-Жулебино города Москвы,,38729078,"109542, г. Москва, Рязанский проспект, дом 64, корпус 2",Озеров Юрий Александрович,глава управы,"PublicPhone:(495) 777-77-77

",vyhino-zhulebino.mos.ru,85,"Email:vh@mos.ru

"
,Управа района Капотня города Москвы,,38729079,"109429, г. Москва, 2-й квартал Капотня, дом 7",Давидович Игорь Феликсович,глава управы,"PublicPhone:(495) 777-77-77

",uprava-kapotnya.mos.ru,86,"Email:uprava-kapotnya@mos.ru

"
,Управа района Кузьминки города Москвы,,38729080,"109443, г. Москва, улица Юных Ленинцев, дом 66, корпус 2",Пундель Олег Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",kuzminki.mos.ru,87,"Email:uprava-kuzminki@mos.ru

"
,Управа района Лефортово города Москвы,,38729081,"111250, г. Москва, проезд завода Серп и Молот, дом 10",Царикаев Азамат Русланович,глава управы,"PublicPhone:(495) 777-77-77

",lefortovo.mos.ru,88,"Email:lefortovo@uvao.mos.ru

"
,Управа района Люблино города Москвы,,38729082,"109387, г. Москва, Люблинская улица, дом 53",Бирюков Алексей Петрович,глава управы,"PublicPhone:(495) 777-77-77

",lublino.mos.ru,89,"Email:lublino@mos.ru

"
,Управа района Марьино города Москвы,,38729084,"109341, г. Москва, Люблинская улица, дом 161",Корешков Владимир Александрович,глава управы,"PublicPhone:(495) 777-77-77

",marino.mos.ru,90,"Email:marino@mos.ru

"
,Управа района Некрасовка города Москвы,,38729085,"111674, г. Москва, 1-я Вольская улица, дом 24, корпус 1",Хромова Елена Станиславовна,глава управы,"PublicPhone:(495) 777-77-77

",nekrasovka.mos.ru,91,"Email:nekrasovka@uvao.mos.ru

"
,Управа Нижегородского района города Москвы,,38729086,"109052, г. Москва, Нижегородская улица, дом 58, корпус 1",Иванченко Валентина Алексеевна,глава управы,"PublicPhone:(495) 777-77-77

",nizhegorodsky.mos.ru,92,"Email:nizhegorodka@mos.ru

"
,Управа района Печатники города Москвы,,38729087,"109383, г. Москва, Шоссейная улица, дом 86",Горбатов Павел Олегович,глава управы,"PublicPhone:(495) 777-77-77

",pechatniki.mos.ru,93,"Email:UpravaPechatniki@mos.ru

"
,Управа Рязанского района города Москвы,,38729089,"109377, г. Москва, 1-я Новокузьминская улица, дом 10",Киселёв Андрей Александрович,глава управы,"PublicPhone:(495) 777-77-77

",ryazansky.mos.ru,94,"Email:uprava-ryazansky@mos.ru

"
,Управа района Текстильщики города Москвы,,38729090,"109129, г. Москва, 8-я улица Текстильщиков, дом 16, корпус 5",Петушкова Елена Валентиновна,глава управы,"PublicPhone:(495) 777-77-77

",tekstilschiky.mos.ru,95,"Email:tekstilschiky@mos.ru

"
,Управа Южнопортового района города Москвы,,38729091,"115432, г. Москва, улица Трофимова, дом 27, корпус 1",Никитин Сергей Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",uzhnoport.mos.ru,96,"Email:uzh_sekretar@uvao.mos.ru

"
,Управа района Бирюлево Восточное города Москвы,,38729092,"115547, г. Москва, Бирюлевская улица, дом 48, корпус 2",Канаев Кирилл Викторович,глава управы,"PublicPhone:(495) 777-77-77

",bv.mos.ru,97,"Email:sovbr@mos.ru

"
,Управа района Бирюлево Западное города Москвы,,38729093,"117546, г. Москва, Медынская улица, дом 14Б",Андриянова Ольга Львовна,глава управы,"PublicPhone:(495) 777-77-77

",birulevo-zapadnoe.mos.ru,98,"Email:sowbr@uao.mos.ru

"
,Управа района Братеево города Москвы,,38729094,"115408, г. Москва, Алма-Атинская улица, дом 10, корпус 3",Воробьев Александр Алексеевич,глава управы,"PublicPhone:(495) 777-77-77

",brateevo.mos.ru,99,"Email:sobrt@mos.ru

"
,Управа Даниловского района города Москвы,,38729096,"115191, г. Москва, Большая Тульская улица, дом 9",Конюхова Ольга Александровна,глава управы,"PublicPhone:(495) 777-77-77

",danilovsky.mos.ru,100,"Email:sodnl@uao.mos.ru

"
,Управа Донского района города Москвы,,38729097,"117105, г. Москва, Варшавское шоссе, дом 10",Соколов Дмитрий Николаевич,глава управы,"PublicPhone:(495) 777-77-77

",donskoy.mos.ru,101,"Email:sodns@uao.mos.ru

"
,Управа района Зябликово города Москвы,,38729098,"115682, г. Москва, Кустанайская улица, дом 3, корпус 2",Князев Константин Игоревич,глава управы,"PublicPhone:(495) 777-77-77

",zyablikovo.mos.ru,102,"Email:sozbk@uao.mos.ru

"
,Управа района Нагатино-Садовники города Москвы,,38729100,"115446, г. Москва, улица Академика Миллионщикова, дом 37",Федоров Сергей Константинович,глава управы,"PublicPhone:(495) 777-77-77

",nagatino-sadovniki.mos.ru,104,"Email:songs@uao.mos.ru

"
,Управа района Нагатинский затон города Москвы,,38729101,"115142, г. Москва, Коломенская набережная, дом 22, корпус 2",Джиоева Ирина Петровна,глава управы,"PublicPhone:(495) 777-77-77

",nagatinsky-zaton.mos.ru,105,"Email:sonzt@uao.mos.ru

"
,Управа Нагорного района города Москвы,,38729102,"117556, г. Москва, Болотниковская улица, дом 3, корпус 2",Русских Аркадий Юрьевич,глава управы,"PublicPhone:(495) 777-77-77

",nagorny.mos.ru,106,"Email:songr@uao.mos.ru

"
,Управа района Орехово-Борисово Северное города Москвы,,38729103,"115551, г. Москва, Шипиловский проезд, дом 45, корпус 1",Силкин Евгений Иванович,глава управы,"PublicPhone:(495) 777-77-77

",sevorehovo-borisovo.mos.ru,107,"Email:sonbr@mos.ru

"
,Управа района Орехово-Борисово Южное города Москвы,,38729104,"115582, г. Москва, Каширское шоссе, дом 122",Козельская Валентина Дмитриевна,глава управы,"PublicPhone:(495) 777-77-77

",orehovo-borisovo-juzhnoe.mos.ru,108,"Email:sosbr@mos.ru

"
,Управа района Царицыно города Москвы,,38729105,"115516, г. Москва, Веселая улица, дом 31А",Белов Сергей Александрович,глава управы,"PublicPhone:(495) 777-77-77

",tsaricino.mos.ru,109,"Email:sotsr@mos.ru

"
,Управа района Чертаново Северное города Москвы,,38729107,"117587, г. Москва, Варшавское шоссе, дом 116",Дёмин Александр Евгеньевич,глава управы,"PublicPhone:(495) 777-77-77

",chertanovo-severnoe.mos.ru,110,"Email:sonch@mos.ru

"
,Управа района Чертаново Центральное города Москвы,,38729108,"117570, г. Москва, Днепропетровская улица, дом 16, корпус 8",Михеев Владимир Александрович,глава управы,"PublicPhone:(495) 777-77-77

",chertanovocentr.mos.ru,111,"Email:chertanovocentr@mail.ru

"
,Управа района Чертаново Южное города Москвы,,38729110,"117545, г. Москва, улица Подольских Курсантов, дом 4А",Щербаков Николай Викторович,глава управы,"PublicPhone:(495) 777-77-77

",chertanovo-juzhnoe.mos.ru,112,"Email:sosch@uao.mos.ru

"
,Управа Академического района города Москвы,,38729111,"117218, г. Москва, Профсоюзная улица, дом 11/11",Шигабетдинова Эльвира Альбертовна,глава управы,"PublicPhone:(495) 777-77-77

",akademichesky.mos.ru,113,"Email:uzao-akadem@mos.ru

"
,Управа Гагаринского района города Москвы,,38729112,"119296, г.Москва, Ленинский проспект, дом 68/10",Вишняков Евгений Евгеньевич,глава управы,"PublicPhone:(495) 777-77-77

",gagarin.mos.ru,114,"Email:uzao-gagarin@mos.ru

"
,Управа района Зюзино города Москвы,,38729113,"117461, г. Москва, улица Каховка, дом 12Б",Горлова Вера Владимировна,глава управы,"PublicPhone:(495) 777-77-77

",zuzino.mos.ru,115,"Email:uzao-zuzino@mos.ru

"
,Управа района Коньково города Москвы,,38729114,"117647, г. Москва, улица Островитянова, дом 32",Писяев Александр Викторович,глава управы,"PublicPhone:(495) 777-77-77

",konkovo.mos.ru,116,"Email:uzao-konkovo@mos.ru

"
,Управа района Котловка города Москвы,,38729115,"117447, г. Москва, Севастопольский проспект, дом 15, корпус 4",Пахомова Елена Анатольевна,глава управы,"PublicPhone:(495) 777-77-77

",kotlovka.mos.ru,117,"Email:uzao-kotlovka@mos.ru

"
,Управа Ломоносовского района города Москвы,,38729116,"119331, г. Москва, улица Кравченко, дом 8",Кравцова Ксения Владимировна,"глава управы
","PublicPhone:(495) 777-77-77

",lomonosovsky.mos.ru,118,"Email:uzao-lomonos@mos.ru

"
,Управа Обручевского района города Москвы,,38729118,"119421, г. Москва, улица Новаторов, дом 4, корпус 8",Хизирьянов Вячеслав Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",obruchev.mos.ru,119,"Email:UZAO-obruchev@mos.ru

"
,Управа района Северное Бутово города Москвы,,38729119,"117216, г. Москва, улица Грина, дом 1, корпус 2",Захарова Регина Михайловна,глава управы,"PublicPhone:(495) 777-77-77

",sevbutovo.mos.ru,120,"Email:uzao-sevbutovo@mos.ru

"
,Управа района Теплый Стан города Москвы,,38729120,"117321, г. Москва, Профсоюзная улица, дом 154, корпус 2",Никитенко Антон Юрьевич,глава управы,"PublicPhone:(495) 777-77-77

",teplystan.mos.ru,121,"Email:UZAO-Teplystan@mos.ru

"
,Управа района Черёмушки города Москвы,,38729122,"119335, г. Москва, улица Архитектора Власова, дом 25, корпус 2",Ширяев Станислав Владимирович,глава управы,"PublicPhone:(495) 777-77-77

",cheremush.mos.ru,122,"Email:uzao-cheremush@mos.ru

"
,Управа района Южное Бутово города Москвы,,38729123,"117623, г. Москва, улица Большая Бутовская, дом 13",Бекниязов Мурад Азадович,глава управы,"PublicPhone:(495) 777-77-77

",ubutovo.mos.ru,123,"Email:uzao-ugbutovo@mos.ru

"
,Управа района Ясенево города Москвы,,38729124,"117463, г. Москва, улица Паустовского, дом 8, корпус 1",Толчеев Алексей Юрьевич,глава управы,"PublicPhone:(495) 777-77-77

",yasenevo.mos.ru,124,"Email:UZAO-yasenevo@mos.ru

"
,Управа района Дорогомилово города Москвы,,38729125,"121165, г. Москва, Студенческая улица, дом 44/28",Горбунова Ольга Александровна,"глава управы
","PublicPhone:(495) 777-77-77

",dorogomilovo.mos.ru,126,"Email:Uprava.dorogomilovo@mos.ru

"
,Управа района Крылатское города Москвы,,38729126,"121614, г. Москва, улица Крылатские Холмы, дом 27, корпус 1",Галянин Сергей Александрович,глава управы,"PublicPhone:(495) 777-77-77

",krylatskoe.mos.ru,127,"Email:uprava-krylatskoe@mos.ru

"
,Управа района Кунцево города Москвы,,38729127,"121552, г. Москва, улица Академика Павлова, дом 42, корпус 2",Сапронов Дмитрий Валерьевич,глава управы,"PublicPhone:(495) 777-77-77

",kuntsevo.mos.ru,128,"Email:uprava-kuntsevo@mos.ru

"
,Управа Можайского района города Москвы,,38729129,"121596, г. Москва, улица Кубинка, дом 3, строение 5",Шакиров Рустем Маратович,глава управы,"PublicPhone:(495) 777-77-77

",mozhaisky.mos.ru,129,"Email:uprava-mozh@mos.ru

"
,Управа района Ново-Переделкино города Москвы,,38729130,"119633, г. Москва, Боровское шоссе, дом 33",Булыгин Николай Валерьевич,глава управы,"PublicPhone:(495) 777-77-77

",novo-peredelkino.mos.ru,130,"Email:zao-uprava-np@mos.ru

"
,Управа района Очаково-Матвеевское города Москвы,,38729132,"119361, г. Москва, улица Большая Очаковская, дом 10",Жаваева Светлана Игоревна,глава управы,"PublicPhone:(495) 777-77-77

",ochakovo.mos.ru,131,"Email:Оchakovo-Uprava@mos.ru

"
,Управа района Проспект Вернадского города Москвы,,38729133,"119454, г. Москва, улица Лобачевского, дом 66А",Малышев Иван Юрьевич,глава управы,"PublicPhone:(495) 777-77-77

",vernadskogo.mos.ru,132,"Email:vernadskogo@mos.ru

"
,Управа района Раменки города Москвы,,38729134,"119607, Москва, Мичуринский проспект, дом 31, корпус 5",Алексеев Игорь Алексеевич,глава управы,"PublicPhone:(495) 777-77-77

",ramenki.mos.ru,133,"Email:uzao-ramenki@mos.ru

"
,Управа района Тропарево-Никулино города Москвы,,38729135,"119571, г. Москва, Ленинский проспект, дом 150",Намазов Назим Михайлович,глава управы,"PublicPhone:(495) 777-77-77

",troparevo-nikulino.mos.ru,135,"Email:uprava.trop-nik@zao.mos.ru

"
,Управа района Фили-Давыдково города Москвы,,38729136,"121108, г. Москва, Кастанаевская улица, дом 29, корпус 2",Нахаев Эльдар Заурбейгович,глава управы,"PublicPhone:(495) 777-77-77

",fili-davydkovo.mos.ru,137,"Email:uprava.filidavydkovo@zao.mos.ru

"
,Управа района Куркино города Москвы,,38729138,"125466, г. Москва, улица Соловьиная Роща, дом 8, корпус 1",Тараканов Денис Михайлович,глава управы,"PublicPhone:(495) 777-77-77

",kurkino.mos.ru,138,"Email:kurkino@sisp.mos.ru

"
,Управа района Митино города Москвы,,38729139,"125368, г. Москва, Митинская улица, дом 35",Низамов Алексей Сергеевич,глава управы,"PublicPhone:(495) 777-77-77

",mitino.mos.ru,139,"Email:mitino@ru.mos.ru

"
,Управа района Покровское-Стрешнево города Москвы,,38729140,"125362, г. Москва, улица Свободы, дом 16",Попов Игорь Александрович,глава управы,"PublicPhone:(495) 777-77-77

",pokrov-streshnevo.mos.ru,140,"Email:szao-pstreshnevo@mos.ru

"
,"Управление Федеральной службы государственной регистрации, кадастра и картографии по Москве",Управление Росреестра по Москве,38729143,"115191, Москва, Большая Тульская улица, дом 15",Майданов Игорь Иванович,руководитель,"PublicPhone:(495) 957-69-14

",rosreestr.ru/site/about/struct/territorialnye-organy/upravlenie-rosreestra-po-moskve/,2,"Email:77_upr@rosreestr.ru

"
,Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по городу Москве,Управление Роспотребнадзора по г. Москве,38729144,"129626, Москва, Графский переулок, дом 4/9",Андреева Елена Евгеньевна,"руководитель, главный государственный санитарный врач по городу Москве","PublicPhone:(495) 687-40-35

",77.rospotrebnadzor.ru,3,"Email:uprav@77.rospotrebnadzor.ru

"
,"Филиал Федерального государственного бюджетного учреждения «Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии» по Москве",Филиал ФГБУ «ФКП Росреестра» по Москве,38729145,"111397, г.Москва, Зеленый проспект, дом 20",Спиридонова Елена Николаевна,директор,"PublicPhone:(800) 100-34-34

",kadastr.ru,4,"Email:filial@77.kadastr.ru

"
,Управление Федеральной службы судебных приставов по Москве,УФССП России по Москве,38729146,"125047, г. Москва, улица Бутырский Вал, дом 5",Замородских Сергей Григорьевич,руководитель - главный судебный пристав Москвы,"PublicPhone:(800) 250-39-32

",r77.fssprus.ru,5,"Email:mail@r77.fssprus.ru

"
,Московский городской фонд обязательного медицинского страхования,МГФОМС,38729149,"117152, г. Москва, Загородное шоссе, дом 18А",Зеленский Владимир Анатольевич,директор,"PublicPhone:(495) 952-93-21

",www.mgfoms.ru,8,"Email:mgfoms@mos.ru

"
,Департамент городского имущества города Москвы,ДГИ,38729151,"115054, Москва, улица Бахрушина, дом 20",Гаман Максим Федорович,"Министр Правительства Москвы, руководитель","PublicPhone:(495) 777-77-77

",www.mos.ru/dgi/,10,"Email:dgi@mos.ru

"
,Департамент природопользования и охраны окружающей среды города Москвы,ДПиООС,38729152,"119019, г. Москва, улица Новый Арбат, дом 11, корпус 1",Кульбачевский Антон Олегович,руководитель,"PublicPhone:(495) 777-77-77

",www.mos.ru/eco/,11,"Email:depmospriroda@mos.ru

"
,Департамент информационных технологий города Москвы,ДИТ,38729153,"107078, Россия, Москва, Новая Басманная улица, дом 10, строение 1",Лысенко Эдуард Анатольевич,"Министр Правительства Москвы, руководитель","PublicPhone:(495) 957-01-31

",www.mos.ru/dit/,12,"Email:dit@mos.ru

"
,Главное архивное управление города Москвы,Главархив Москвы,38729155,"117393, г. Москва, Профсоюзная улица, дом 80",Онопенко Ярослав Аксентьевич,начальник,"PublicPhone:(499) 128-78-97

",www.mos.ru/mosarchiv/,13,"Email:mosarch@mos.ru

"
